experiment,model,metric,dataset,OLD (leaky),"CORRECTED (real-data, train-only)",abs delta,direction,status
single-split,VQC,ROC-AUC,primary,0.9006,0.8816,-0.0190,down,DECREASED — no longer >0.90; VQC no longer tops board
single-split,QDCN,ROC-AUC,primary,0.8699,0.8754,+0.0055,up,≈ (slightly up)
single-split,QDFL-NONIID,ROC-AUC,primary,0.8837,0.8860,+0.0023,up,≈
single-split,QSVM,ROC-AUC,primary,0.8369,0.8628,+0.0259,up,up
single-split,Logistic,ROC-AUC,primary,0.8588,0.8730,+0.0142,up,up
single-split,XGBoost,ROC-AUC,primary,0.8890,0.8888,-0.0002,down,≈
single-split,VQC-matched (ablation),ROC-AUC,primary,0.6104,0.4998,-0.1106,down,DECREASED — collapses toward random
single-split,matched-depth gap (QDCN−VQCmatched),pp,primary,25.95,37.56,+11.6100,up,LARGER — dual-channel effect stronger
single-split,VQC-matched (ablation),ROC-AUC,PaySim,(≈0.94),0.9106,,,—
single-split,matched-depth gap,pp,PaySim,0.44,2.56,+2.1200,up,larger
single-split,QDFL-NONIID edge over QDCN,pp,PaySim,1.96,2.89,+0.9300,up,holds
single-split,QDFL-NONIID edge over VQC,pp,PaySim,1.50,3.21,+1.7100,up,holds
noise-fidelity,QDFL−VQC gap @p=0.10,pp,primary,25.54,24.87,-0.6700,down,≈ (replicates)
noise-fidelity,QDFL−VQC gap @p=0.10,pp,PaySim,22.56,23.38,+0.8200,up,≈ (replicates)
noise-fidelity,QDCN−VQC gap @p=0.10,pp,primary,40.41,40.92,+0.5100,up,≈
noise-fidelity,QDCN−VQC gap @p=0.10,pp,PaySim,37.07,38.52,+1.4500,up,≈
noise-fidelity,VQC fidelity @p=0.10,fid,primary,0.1662,0.1713,+0.0051,up,≈
noise-fidelity,QDCN fidelity @p=0.10,fid,primary,0.5703,0.5805,+0.0102,up,≈
noise-fidelity,QDFL fidelity @p=0.10,fid,primary,0.4216,0.4200,-0.0016,down,≈
noise-fidelity,cross-dataset gap difference,pp,both,2.98,1.49,-1.4900,down,"≈; CI [-1.25,+4.08] includes 0 → replicates"
noise-AUC,QDFL downstream ROC-AUC @p=0.1 (worst),ROC-AUC,primary,(stable),0.8675,,,stable — decisions unaffected
noise-AUC,QDFL downstream ROC-AUC @p=0.1 (worst),ROC-AUC,PaySim,(stable),0.9479,,,stable
cross-validation,VQC (RepeatedKFold),ROC-AUC,primary,~0.56,0.5669 ± 0.0845,,,overfitting confirmed (single-split 0.8816 → CV 0.567)
cross-validation,QDCN (RepeatedKFold),ROC-AUC,primary,—,0.7239 ± 0.0610,,,drops from single-split 0.8754
cross-validation,QSVM (RepeatedKFold),ROC-AUC,primary,—,0.8687 ± 0.0445,,,stable
cross-validation,XGBoost (RepeatedStratKFold),ROC-AUC,primary,—,0.8910 ± 0.0054,,,stable (≈ single-split)
cross-validation,FedAvg LOCO-CV,ROC-AUC,primary,—,0.8552 ± 0.0212,,,—
cross-validation,QDFL LOCO-CV,ROC-AUC,primary,—,0.7251 ± 0.2633,,,wide variance
cross-validation,QDFL StratifiedFedCV,ROC-AUC,primary,—,0.7948 ± 0.0239,,,—
cross-validation,FedAvg LOCO-CV,ROC-AUC,PaySim,—,0.6664 ± 0.3501,,,wide variance
cross-validation,QDFL LOCO-CV,ROC-AUC,PaySim,—,0.5376 ± 0.2339,,,wide variance
statistics (Tables VIII-IX),overfitting t-tests / Cohen d / Welch,—,—,t=19.0; d=1.84/1.52; Welch t=-2.66/-3.89,EXECUTION EVIDENCE UNAVAILABLE,,,stats notebook not provided
deployment (Tables X-XI),hybrids/ensembles PR-AUC@p,—,—,(unchanged),NOT RE-RUN — already train-only,,,not affected
